locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKHJKCLP_02104	CDS	987	pfkA_1	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
EKHJKCLP_02105	CDS	1776	kefB_3			Glutathione-regulated potassium-efflux system protein KefB
EKHJKCLP_02106	CDS	2559	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase
EKHJKCLP_02107	CDS	819				hypothetical protein
EKHJKCLP_02108	CDS	540	mgsA_2	4.2.3.3	COG1803	Methylglyoxal synthase
EKHJKCLP_02109	CDS	2406	rcsC_27	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02110	CDS	1287	zraR_5		COG2204	Transcriptional regulatory protein ZraR
EKHJKCLP_02111	CDS	618				hypothetical protein
EKHJKCLP_02112	CDS	246				hypothetical protein
EKHJKCLP_02113	CDS	687				hypothetical protein
EKHJKCLP_02114	CDS	273				hypothetical protein
EKHJKCLP_02115	CDS	1710				hypothetical protein
EKHJKCLP_02116	CDS	171				hypothetical protein
EKHJKCLP_02117	CDS	402	dpnM_3	2.1.1.72		Type II methyltransferase M1.DpnII
EKHJKCLP_02118	CDS	402				hypothetical protein
EKHJKCLP_02119	CDS	747				hypothetical protein
EKHJKCLP_02120	CDS	159				hypothetical protein
EKHJKCLP_02121	CDS	192				hypothetical protein
EKHJKCLP_02122	CDS	1140				hypothetical protein
EKHJKCLP_02123	CDS	1425				hypothetical protein
EKHJKCLP_02124	CDS	816				hypothetical protein
EKHJKCLP_02125	CDS	1449				hypothetical protein
EKHJKCLP_02126	CDS	312				hypothetical protein
EKHJKCLP_02127	CDS	1071				hypothetical protein
EKHJKCLP_02128	CDS	1767				hypothetical protein
EKHJKCLP_02129	CDS	1203				hypothetical protein
EKHJKCLP_02130	CDS	873				hypothetical protein
EKHJKCLP_02131	CDS	117	topB_3	5.6.2.1		DNA topoisomerase 3
EKHJKCLP_02132	CDS	1893	topB_4	5.6.2.1	COG0550	DNA topoisomerase 3
EKHJKCLP_02133	CDS	219				hypothetical protein
EKHJKCLP_02134	CDS	573				hypothetical protein
EKHJKCLP_02135	CDS	120				hypothetical protein
EKHJKCLP_02136	CDS	312				hypothetical protein
EKHJKCLP_02137	CDS	1230	xerC_23			Tyrosine recombinase XerC
EKHJKCLP_02138	CDS	867				hypothetical protein
EKHJKCLP_02139	CDS	1671				hypothetical protein
EKHJKCLP_02140	CDS	3087			COG4771	TonB-dependent receptor P39
EKHJKCLP_02141	CDS	1698				hypothetical protein
EKHJKCLP_02142	CDS	2856			COG1629	TonB-dependent receptor P26
EKHJKCLP_02143	CDS	1749				hypothetical protein
EKHJKCLP_02144	CDS	666				hypothetical protein
EKHJKCLP_02145	CDS	600				hypothetical protein
EKHJKCLP_02146	CDS	744				hypothetical protein
EKHJKCLP_02147	CDS	1938				hypothetical protein
EKHJKCLP_02148	CDS	1266	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EKHJKCLP_02149	CDS	1452				hypothetical protein
EKHJKCLP_02150	CDS	1689				hypothetical protein
EKHJKCLP_02151	CDS	840	glgA	2.4.1.21	COG0297	Glycogen synthase
EKHJKCLP_02152	CDS	846	panC	6.3.2.1	COG0414	Pantothenate synthetase
EKHJKCLP_02153	CDS	354	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
EKHJKCLP_02154	CDS	2292	pyrK_1			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
EKHJKCLP_02155	CDS	1212	fucP_1		COG0738	L-fucose-proton symporter
EKHJKCLP_02156	CDS	1275	serS	6.1.1.11	COG0172	Serine--tRNA ligase
EKHJKCLP_02157	CDS	264	rpmA			Large ribosomal subunit protein bL27
EKHJKCLP_02158	CDS	318	rplU			Large ribosomal subunit protein bL21
EKHJKCLP_02159	CDS	636	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
EKHJKCLP_02160	CDS	885				hypothetical protein
EKHJKCLP_02161	CDS	513				hypothetical protein
EKHJKCLP_02162	CDS	705	bcrA_1			Bacitracin transport ATP-binding protein BcrA
EKHJKCLP_02163	CDS	1494				hypothetical protein
EKHJKCLP_02164	CDS	2838	pqqL	3.4.24.-	COG0612	putative zinc protease PqqL
EKHJKCLP_02165	CDS	801	kdsA_2	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
EKHJKCLP_02166	CDS	927	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
EKHJKCLP_02167	CDS	921	miaA_2	2.5.1.75	COG0324	tRNA dimethylallyltransferase
EKHJKCLP_02168	CDS	987				hypothetical protein
EKHJKCLP_02169	CDS	2022				hypothetical protein
EKHJKCLP_02170	CDS	3111			COG1629	TonB-dependent receptor P26
EKHJKCLP_02171	CDS	1359				hypothetical protein
EKHJKCLP_02172	CDS	1221				hypothetical protein
EKHJKCLP_02173	CDS	1299				hypothetical protein
EKHJKCLP_02174	CDS	4041	rcsC_28	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02175	CDS	2649				hypothetical protein
EKHJKCLP_02176	CDS	1206				hypothetical protein
EKHJKCLP_02177	CDS	645	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EKHJKCLP_02178	CDS	1548				hypothetical protein
EKHJKCLP_02179	CDS	702	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
EKHJKCLP_02180	CDS	603				hypothetical protein
EKHJKCLP_02181	CDS	1251	xapB		COG2211	Xanthosine permease
EKHJKCLP_02182	CDS	1179	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
EKHJKCLP_02183	CDS	645	rnd	3.1.13.5		Ribonuclease D
EKHJKCLP_02184	CDS	666				hypothetical protein
EKHJKCLP_02185	CDS	2499				hypothetical protein
EKHJKCLP_02186	CDS	648				hypothetical protein
EKHJKCLP_02187	CDS	951	trxB	1.8.1.9	COG0492	Thioredoxin reductase
EKHJKCLP_02188	CDS	1296	resA_12			Thiol-disulfide oxidoreductase ResA
EKHJKCLP_02189	CDS	1167				hypothetical protein
EKHJKCLP_02190	CDS	1716				hypothetical protein
EKHJKCLP_02191	CDS	1014	resA_13			Thiol-disulfide oxidoreductase ResA
EKHJKCLP_02192	CDS	1044				hypothetical protein
EKHJKCLP_02193	CDS	1557				hypothetical protein
EKHJKCLP_02194	CDS	3570			COG1629	TonB-dependent receptor P26
EKHJKCLP_02195	CDS	1215				hypothetical protein
EKHJKCLP_02196	CDS	543				hypothetical protein
EKHJKCLP_02197	CDS	687	crp			CRP-like cAMP-activated global transcriptional regulator
EKHJKCLP_02198	CDS	2190	glnA_1	6.3.1.2		Glutamine synthetase
EKHJKCLP_02199	CDS	2112				hypothetical protein
EKHJKCLP_02200	CDS	1131				hypothetical protein
EKHJKCLP_02201	CDS	5952	recD2_3	5.6.2.3		ATP-dependent RecD2 DNA helicase
EKHJKCLP_02202	CDS	1797	pnp_2	2.7.7.8		Polyribonucleotide nucleotidyltransferase
EKHJKCLP_02203	CDS	939	rnz	3.1.26.11	COG1234	Ribonuclease Z
EKHJKCLP_02204	CDS	1518				hypothetical protein
EKHJKCLP_02205	CDS	552	sigW_3		COG1595	ECF RNA polymerase sigma factor SigW
EKHJKCLP_02206	CDS	411				hypothetical protein
EKHJKCLP_02207	CDS	465				hypothetical protein
EKHJKCLP_02208	CDS	789	mazG	3.6.1.8	COG3956	Nucleoside triphosphate pyrophosphohydrolase
EKHJKCLP_02209	CDS	1044				hypothetical protein
EKHJKCLP_02210	CDS	639				hypothetical protein
EKHJKCLP_02211	CDS	2637	valS_2	6.1.1.9	COG0525	Valine--tRNA ligase
EKHJKCLP_02212	CDS	1896	rcsC_29	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02213	CDS	576	rpoE_2		COG1595	ECF RNA polymerase sigma factor RpoE
EKHJKCLP_02214	CDS	1017				hypothetical protein
EKHJKCLP_02215	CDS	3312			COG4771	TonB-dependent receptor P3
EKHJKCLP_02216	CDS	1515				hypothetical protein
EKHJKCLP_02217	CDS	1311				hypothetical protein
EKHJKCLP_02218	CDS	1566				hypothetical protein
EKHJKCLP_02219	CDS	2328				hypothetical protein
EKHJKCLP_02220	CDS	1578				hypothetical protein
EKHJKCLP_02221	CDS	522				hypothetical protein
EKHJKCLP_02222	CDS	1056				hypothetical protein
EKHJKCLP_02223	CDS	1551				hypothetical protein
EKHJKCLP_02224	CDS	3162				hypothetical protein
EKHJKCLP_02225	CDS	1242		3.2.1.-	COG4225	Unsaturated glucuronyl hydrolase
EKHJKCLP_02226	CDS	4044	rcsC_30	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02227	CDS	447				hypothetical protein
EKHJKCLP_02228	CDS	1107				hypothetical protein
EKHJKCLP_02229	CDS	3318	secA	7.4.2.8		Protein translocase subunit SecA
EKHJKCLP_02230	CDS	1575	pafA	3.1.3.1	COG1524	Alkaline phosphatase PafA
EKHJKCLP_02231	CDS	1188				hypothetical protein
EKHJKCLP_02232	CDS	732	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
EKHJKCLP_02233	CDS	1314				hypothetical protein
EKHJKCLP_02234	CDS	1326				hypothetical protein
EKHJKCLP_02235	CDS	654				hypothetical protein
EKHJKCLP_02236	CDS	1227				hypothetical protein
EKHJKCLP_02237	CDS	2142				hypothetical protein
EKHJKCLP_02238	CDS	1011	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
EKHJKCLP_02239	CDS	1041				hypothetical protein
EKHJKCLP_02240	CDS	1095	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
EKHJKCLP_02241	CDS	1251	norR			Anaerobic nitric oxide reductase transcription regulator NorR
EKHJKCLP_02242	CDS	531				hypothetical protein
EKHJKCLP_02243	CDS	759				hypothetical protein
EKHJKCLP_02244	CDS	399				hypothetical protein
EKHJKCLP_02245	CDS	1398				hypothetical protein
EKHJKCLP_02246	CDS	351	pqqD			PqqA binding protein
EKHJKCLP_02247	CDS	285				hypothetical protein
EKHJKCLP_02248	CDS	1065				hypothetical protein
EKHJKCLP_02249	CDS	1512	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
EKHJKCLP_02250	CDS	222				hypothetical protein
EKHJKCLP_02251	CDS	537	hpt	2.4.2.8		Hypoxanthine phosphoribosyltransferase
EKHJKCLP_02252	CDS	570	adk	2.7.4.3		Adenylate kinase
EKHJKCLP_02253	CDS	1167	obg	3.6.5.-	COG0536	GTPase Obg
EKHJKCLP_02254	CDS	813		2.4.2.1	COG1496	Purine nucleoside phosphorylase
EKHJKCLP_02255	CDS	666				hypothetical protein
EKHJKCLP_02256	CDS	639				hypothetical protein
EKHJKCLP_02257	CDS	576	sigW_4		COG1595	ECF RNA polymerase sigma factor SigW
EKHJKCLP_02258	CDS	3372			COG1629	TonB-dependent receptor P26
EKHJKCLP_02259	CDS	1935				hypothetical protein
EKHJKCLP_02260	CDS	1563		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
EKHJKCLP_02261	CDS	948				hypothetical protein
EKHJKCLP_02262	CDS	1962		3.2.1.52	COG3525	Beta-hexosaminidase
EKHJKCLP_02263	CDS	108				hypothetical protein
EKHJKCLP_02264	CDS	2214		3.2.1.169	COG3525	O-GlcNAcase
EKHJKCLP_02265	CDS	894	araC		COG4977	Arabinose operon regulatory protein
EKHJKCLP_02266	CDS	2802	lacZ_11	3.2.1.23		Beta-galactosidase
EKHJKCLP_02267	CDS	1383	xylE_1		COG0477	D-xylose-proton symporter
EKHJKCLP_02268	CDS	3282				hypothetical protein
EKHJKCLP_02269	CDS	1194	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
EKHJKCLP_02270	CDS	1446			COG3385	IS4 family transposase ISBf8
EKHJKCLP_02271	CDS	3180			COG4771	TonB-dependent receptor P3
EKHJKCLP_02272	CDS	1737			COG0702	SusD-like protein P2
EKHJKCLP_02273	CDS	2841	nagZ	3.2.1.52		Beta-hexosaminidase
EKHJKCLP_02274	tmRNA	395	ssrA			transfer-messenger RNA, SsrA
EKHJKCLP_02275	tmRNA	396	ssrA			transfer-messenger RNA, SsrA
EKHJKCLP_02276	CDS	1890				hypothetical protein
EKHJKCLP_02277	CDS	615				hypothetical protein
EKHJKCLP_02278	CDS	180				hypothetical protein
EKHJKCLP_02279	CDS	1125				hypothetical protein
EKHJKCLP_02280	CDS	168				hypothetical protein
EKHJKCLP_02281	CDS	1347				hypothetical protein
EKHJKCLP_02282	CDS	969	dnaG_2	2.7.7.101		DNA primase
EKHJKCLP_02283	CDS	1068				hypothetical protein
EKHJKCLP_02284	CDS	309				hypothetical protein
EKHJKCLP_02285	CDS	177				hypothetical protein
EKHJKCLP_02286	CDS	1026				hypothetical protein
EKHJKCLP_02287	CDS	1293	xerC_24			Tyrosine recombinase XerC
EKHJKCLP_02288	CDS	3930	rcsC_31	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02289	CDS	3120			COG4771	TonB-dependent receptor P3
EKHJKCLP_02290	CDS	1884				hypothetical protein
EKHJKCLP_02291	CDS	1449				hypothetical protein
EKHJKCLP_02292	CDS	2859				hypothetical protein
EKHJKCLP_02293	CDS	1704				hypothetical protein
EKHJKCLP_02294	CDS	2307		3.2.1.-	COG1472	Beta-xylosidase
EKHJKCLP_02295	CDS	1440	xynD_2	3.2.1.55	COG3507	Arabinoxylan arabinofuranohydrolase
EKHJKCLP_02296	CDS	1344				hypothetical protein
EKHJKCLP_02297	CDS	564				hypothetical protein
EKHJKCLP_02298	CDS	1155				hypothetical protein
EKHJKCLP_02299	CDS	1377				hypothetical protein
EKHJKCLP_02300	CDS	1092	dinB	2.7.7.7	COG0389	DNA polymerase IV
EKHJKCLP_02301	CDS	1935				hypothetical protein
EKHJKCLP_02302	CDS	702				hypothetical protein
EKHJKCLP_02303	CDS	1179				hypothetical protein
EKHJKCLP_02304	CDS	138				hypothetical protein
EKHJKCLP_02305	CDS	2700				hypothetical protein
EKHJKCLP_02306	CDS	450				hypothetical protein
EKHJKCLP_02307	CDS	432				hypothetical protein
EKHJKCLP_02308	CDS	1215	madB	7.2.4.1		Carboxybiotin decarboxylase
EKHJKCLP_02309	CDS	753	cutC			PF03932 family protein CutC
EKHJKCLP_02310	CDS	1536	rny_2	3.1.-.-	COG1418	Ribonuclease Y
EKHJKCLP_02311	CDS	291				hypothetical protein
EKHJKCLP_02312	CDS	315				hypothetical protein
EKHJKCLP_02313	CDS	111				hypothetical protein
EKHJKCLP_02314	CDS	567	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EKHJKCLP_02315	CDS	360	ybaN		COG2832	Inner membrane protein YbaN
EKHJKCLP_02316	CDS	390	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
EKHJKCLP_02317	CDS	546	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
EKHJKCLP_02318	CDS	741	lutA		COG0247	Lactate utilization protein A
EKHJKCLP_02319	CDS	1386	lutB		COG1139	Lactate utilization protein B
EKHJKCLP_02320	CDS	582	lutC			Lactate utilization protein C
EKHJKCLP_02321	CDS	873	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
EKHJKCLP_02322	CDS	1218				hypothetical protein
EKHJKCLP_02323	CDS	570	algU_3			RNA polymerase sigma-H factor
EKHJKCLP_02324	CDS	1836				hypothetical protein
EKHJKCLP_02325	CDS	147				hypothetical protein
EKHJKCLP_02326	CDS	1560		3.2.1.52	COG3525	Beta-hexosaminidase
EKHJKCLP_02327	tRNA	74				tRNA-Trp(cca)
EKHJKCLP_02328	CDS	354	mgsR		COG1393	Regulatory protein MgsR
EKHJKCLP_02329	CDS	579				hypothetical protein
EKHJKCLP_02330	CDS	3135			COG1629	TonB-dependent receptor P26
EKHJKCLP_02331	CDS	1599				hypothetical protein
EKHJKCLP_02332	CDS	708				hypothetical protein
EKHJKCLP_02333	CDS	1317	xanP		COG2233	Xanthine permease XanP
EKHJKCLP_02334	CDS	2139				hypothetical protein
EKHJKCLP_02335	CDS	633				hypothetical protein
EKHJKCLP_02336	CDS	648				hypothetical protein
EKHJKCLP_02337	CDS	177				hypothetical protein
EKHJKCLP_02338	CDS	114				hypothetical protein
EKHJKCLP_02339	CDS	1446				hypothetical protein
EKHJKCLP_02340	CDS	939				hypothetical protein
EKHJKCLP_02341	CDS	3300				hypothetical protein
EKHJKCLP_02342	CDS	165				hypothetical protein
EKHJKCLP_02343	CDS	450				hypothetical protein
EKHJKCLP_02344	CDS	291				hypothetical protein
EKHJKCLP_02345	CDS	525				hypothetical protein
EKHJKCLP_02346	CDS	1362	dnaB_1	5.6.2.3		Replicative DNA helicase DnaB
EKHJKCLP_02347	CDS	621				hypothetical protein
EKHJKCLP_02348	CDS	297				hypothetical protein
EKHJKCLP_02349	CDS	1269				hypothetical protein
EKHJKCLP_02350	CDS	804				hypothetical protein
EKHJKCLP_02351	CDS	369				hypothetical protein
EKHJKCLP_02352	CDS	2502		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
EKHJKCLP_02353	CDS	894				hypothetical protein
EKHJKCLP_02354	CDS	144				hypothetical protein
EKHJKCLP_02355	CDS	981				hypothetical protein
EKHJKCLP_02356	CDS	846	mutM	3.2.2.23		Formamidopyrimidine-DNA glycosylase
EKHJKCLP_02357	CDS	1314				hypothetical protein
EKHJKCLP_02358	CDS	270				hypothetical protein
EKHJKCLP_02359	CDS	276				hypothetical protein
EKHJKCLP_02360	CDS	270				hypothetical protein
EKHJKCLP_02361	CDS	735		1.-.-.-	COG4221	putative oxidoreductase
EKHJKCLP_02362	CDS	300				hypothetical protein
EKHJKCLP_02363	CDS	207				hypothetical protein
EKHJKCLP_02364	CDS	1419	murJ			lipid II flippase MurJ
EKHJKCLP_02365	CDS	993				hypothetical protein
EKHJKCLP_02366	CDS	1773				hypothetical protein
EKHJKCLP_02367	CDS	552				hypothetical protein
EKHJKCLP_02368	CDS	465	htdZ	4.2.1.-	COG2030	3-hydroxyacyl-thioester dehydratase Z
EKHJKCLP_02369	CDS	522				hypothetical protein
EKHJKCLP_02370	CDS	1404				hypothetical protein
EKHJKCLP_02371	CDS	891	blaVEB-1	3.5.2.6		Beta-lactamase VEB-1
EKHJKCLP_02372	CDS	435				hypothetical protein
EKHJKCLP_02373	CDS	1743				hypothetical protein
EKHJKCLP_02374	CDS	1044	mcrC		COG4268	Type IV methyl-directed restriction enzyme EcoKMcrBC
EKHJKCLP_02375	CDS	744				hypothetical protein
EKHJKCLP_02376	CDS	1065	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
EKHJKCLP_02377	CDS	807	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
EKHJKCLP_02378	CDS	414				hypothetical protein
EKHJKCLP_02379	CDS	1398	mnmE_1	3.6.-.-	COG0486	tRNA modification GTPase MnmE
EKHJKCLP_02380	CDS	519				hypothetical protein
EKHJKCLP_02381	CDS	192	rcsC_32	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_02382	CDS	660				hypothetical protein
EKHJKCLP_02383	CDS	879	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
EKHJKCLP_02384	CDS	1002	floA		COG4864	Flotillin-like protein FloA
EKHJKCLP_02385	CDS	471				hypothetical protein
EKHJKCLP_02386	CDS	1422				hypothetical protein
EKHJKCLP_02387	CDS	747	ttcA	2.8.1.-		tRNA-cytidine(32) 2-sulfurtransferase
EKHJKCLP_02388	CDS	372				hypothetical protein
EKHJKCLP_02389	CDS	1017	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
EKHJKCLP_02390	CDS	582	mntP		COG1971	putative manganese efflux pump MntP
EKHJKCLP_02391	CDS	801				hypothetical protein
EKHJKCLP_02392	CDS	951	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
EKHJKCLP_02393	CDS	516				hypothetical protein
EKHJKCLP_02394	tRNA	75				tRNA-Thr(tgt)
EKHJKCLP_02395	CDS	1086				hypothetical protein
EKHJKCLP_02396	CDS	414				hypothetical protein
EKHJKCLP_02397	CDS	564	sigW_5		COG1595	ECF RNA polymerase sigma factor SigW
EKHJKCLP_02398	CDS	1281	eno	4.2.1.11	COG0148	Enolase
EKHJKCLP_02399	CDS	663	mfpA		COG1357	Pentapeptide repeat protein MfpA
EKHJKCLP_02400	CDS	378	fluC		COG0239	Fluoride-specific ion channel FluC
EKHJKCLP_02401	CDS	1410	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EKHJKCLP_02402	CDS	1224	pepT	3.4.11.4	COG2195	Peptidase T
EKHJKCLP_02403	CDS	1086	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
EKHJKCLP_02404	CDS	2274	kefB_4			Glutathione-regulated potassium-efflux system protein KefB
EKHJKCLP_02405	CDS	426				hypothetical protein
EKHJKCLP_02406	CDS	423	rqcP			RQC P-site tRNA stabilizing factor
EKHJKCLP_02407	CDS	570	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EKHJKCLP_02408	CDS	591	rplY			Large ribosomal subunit protein bL25
EKHJKCLP_02409	CDS	405				hypothetical protein
EKHJKCLP_02410	CDS	129				hypothetical protein
EKHJKCLP_02411	CDS	927	nusB			Transcription antitermination protein NusB
EKHJKCLP_02412	CDS	324				hypothetical protein
EKHJKCLP_02413	CDS	1020				hypothetical protein
EKHJKCLP_02414	CDS	615	coaE	2.7.1.24		Dephospho-CoA kinase
EKHJKCLP_02415	CDS	432				hypothetical protein
EKHJKCLP_02416	CDS	2589	clpB1		COG0542	Chaperone protein ClpB 1
EKHJKCLP_02417	CDS	588				hypothetical protein
EKHJKCLP_02418	CDS	897	cmpR		COG0583	HTH-type transcriptional activator CmpR
EKHJKCLP_02419	CDS	627				hypothetical protein
EKHJKCLP_02420	CDS	435				hypothetical protein
EKHJKCLP_02421	CDS	1125				hypothetical protein
EKHJKCLP_02422	CDS	165				hypothetical protein
EKHJKCLP_02423	CDS	729				hypothetical protein
EKHJKCLP_02424	CDS	375	yccF		COG3304	Inner membrane protein YccF
EKHJKCLP_02425	CDS	993				hypothetical protein
EKHJKCLP_02426	CDS	1038	recA		COG0468	Protein RecA
EKHJKCLP_02427	CDS	456	bcp	1.11.1.24	COG1225	Putative peroxiredoxin bcp
EKHJKCLP_02428	CDS	1194		1.5.1.55	COG1748	Carboxyaminopropylagmatine dehydrogenase
EKHJKCLP_02429	CDS	1284				hypothetical protein
EKHJKCLP_02430	CDS	792				hypothetical protein
EKHJKCLP_02431	CDS	1257				hypothetical protein
EKHJKCLP_02432	CDS	174				hypothetical protein
EKHJKCLP_02433	CDS	1920	dnaK		COG0443	Chaperone protein DnaK
EKHJKCLP_02434	CDS	1017				hypothetical protein
EKHJKCLP_02435	CDS	648				hypothetical protein
EKHJKCLP_02436	CDS	636	dedA			DedA family protein
EKHJKCLP_02437	CDS	447				hypothetical protein
EKHJKCLP_02438	CDS	177				hypothetical protein
EKHJKCLP_02439	CDS	540	sigW_6		COG1595	ECF RNA polymerase sigma factor SigW
EKHJKCLP_02440	CDS	357				hypothetical protein
EKHJKCLP_02441	CDS	579				hypothetical protein
EKHJKCLP_02442	CDS	2751				hypothetical protein
EKHJKCLP_02443	CDS	1572	clcA			H(+)/Cl(-) exchange transporter ClcA
EKHJKCLP_02444	CDS	834	nfo	3.1.21.2	COG0648	Endonuclease 4
EKHJKCLP_02445	CDS	408	btrW	2.7.11.1	COG2172	Serine/threonine-protein kinase BtrW
EKHJKCLP_02446	CDS	789	rsbU	3.1.3.3	COG2208	Phosphoserine phosphatase RsbU
EKHJKCLP_02447	CDS	579				hypothetical protein
EKHJKCLP_02448	CDS	1176				hypothetical protein
EKHJKCLP_02449	CDS	420				hypothetical protein
EKHJKCLP_02450	CDS	756	rsbW	2.7.11.1		Serine-protein kinase RsbW
EKHJKCLP_02451	CDS	1371	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
EKHJKCLP_02452	CDS	1830				hypothetical protein
EKHJKCLP_02453	CDS	687	ktrA		COG0569	Ktr system potassium uptake protein A
EKHJKCLP_02454	CDS	1032				hypothetical protein
EKHJKCLP_02455	CDS	2442		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
EKHJKCLP_02456	CDS	1095	ganB	3.2.1.-	COG3867	Endo-beta-1,4-galactanase
EKHJKCLP_02457	CDS	1785				hypothetical protein
EKHJKCLP_02458	CDS	1578	susD		COG3637	Starch-binding protein SusD
EKHJKCLP_02459	CDS	2976	susC_9		COG1629	TonB-dependent receptor SusC
EKHJKCLP_02460	CDS	2607				hypothetical protein
EKHJKCLP_02461	CDS	3546	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
EKHJKCLP_02462	CDS	549				hypothetical protein
EKHJKCLP_02463	CDS	447				hypothetical protein
EKHJKCLP_02464	CDS	504				hypothetical protein
EKHJKCLP_02465	CDS	1209	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
EKHJKCLP_02466	CDS	1053	corA_2		COG0598	Cobalt/magnesium transport protein CorA
EKHJKCLP_02467	CDS	2505	mutS2	3.1.-.-		Endonuclease MutS2
EKHJKCLP_02468	tRNA	86				tRNA-Ser(tga)
EKHJKCLP_02469	CDS	1230	xerC_25			Tyrosine recombinase XerC
EKHJKCLP_02470	CDS	534				hypothetical protein
EKHJKCLP_02471	CDS	219				hypothetical protein
EKHJKCLP_02472	CDS	483				hypothetical protein
EKHJKCLP_02473	CDS	321				hypothetical protein
EKHJKCLP_02474	CDS	453				hypothetical protein
EKHJKCLP_02475	CDS	582				hypothetical protein
EKHJKCLP_02476	CDS	936				hypothetical protein
EKHJKCLP_02477	CDS	1323				hypothetical protein
EKHJKCLP_02478	CDS	288				hypothetical protein
EKHJKCLP_02479	CDS	624				hypothetical protein
EKHJKCLP_02480	CDS	996				hypothetical protein
EKHJKCLP_02481	CDS	627				hypothetical protein
EKHJKCLP_02482	CDS	2697				hypothetical protein
EKHJKCLP_02483	CDS	297				hypothetical protein
EKHJKCLP_02484	CDS	663				hypothetical protein
EKHJKCLP_02485	CDS	429				hypothetical protein
EKHJKCLP_02486	CDS	783				hypothetical protein
EKHJKCLP_02487	CDS	423				hypothetical protein
EKHJKCLP_02488	CDS	1242				hypothetical protein
EKHJKCLP_02489	CDS	2010				hypothetical protein
EKHJKCLP_02490	CDS	1038	yhcG_6	3.1.-.-	COG4804	Putative nuclease YhcG
EKHJKCLP_02491	CDS	1305				hypothetical protein
EKHJKCLP_02492	CDS	2088	topB_5	5.6.2.1	COG0550	DNA topoisomerase 3
EKHJKCLP_02493	CDS	519				hypothetical protein
EKHJKCLP_02494	CDS	2073				hypothetical protein
EKHJKCLP_02495	CDS	360				hypothetical protein
EKHJKCLP_02496	CDS	843				hypothetical protein
EKHJKCLP_02497	CDS	405				hypothetical protein
EKHJKCLP_02498	CDS	414				hypothetical protein
EKHJKCLP_02499	CDS	426				hypothetical protein
EKHJKCLP_02500	CDS	573				hypothetical protein
EKHJKCLP_02501	CDS	189				hypothetical protein
EKHJKCLP_02502	CDS	621				hypothetical protein
EKHJKCLP_02503	CDS	918	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
EKHJKCLP_02504	CDS	156				hypothetical protein
EKHJKCLP_02505	CDS	1779				hypothetical protein
EKHJKCLP_02506	CDS	363				hypothetical protein
EKHJKCLP_02507	CDS	1233	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EKHJKCLP_02508	CDS	1095	menF_1	5.4.4.2		Isochorismate synthase MenF
